,count,mean,std,min,25%,50%,75%,max
fin13bw_s,9.0,0.2881228946391431,0.07848126117633454,0.188717147529336,0.231605633712471,0.292330702830089,0.355630453236035,0.39769794582618
fin24d3_s,8.0,0.2526134049201355,0.07000034324534872,0.172264755323205,0.205362717131766,0.237917768034558,0.2849294639412905,0.389557034626211
fin5n_s,6.0,0.23442708362402764,0.029882298571574258,0.182269627158312,0.22940018302560025,0.2352183699949925,0.2514720231254985,0.269505439724399
fin6n_s,5.0,0.20774266069755218,0.0247571484132423,0.165894901322507,0.208110520399452,0.214012681799537,0.220813597025922,0.229881602940343
fin13f_1_s,3.0,0.5962646691872769,0.1584852138640549,0.447485746104713,0.5129283437098815,0.57837094131505,0.670654130728559,0.762937320142068
fin32_33_34b_s,1.0,0.7206290466847057,,0.7206290466847057,0.7206290466847057,0.7206290466847057,0.7206290466847057,0.7206290466847057
con1,1982.0,0.8753034068350519,0.11900803875668185,0.256397288102019,0.8291365026193267,0.9130514248590484,0.9599201134904175,1.0
con2a,598.0,0.1882671638381194,0.11161018905921241,0.0071029337086449,0.107469801354993,0.159335272505753,0.250234607081313,0.583797182341376
con2b,275.0,0.13251642743578548,0.08618987710591176,0.0043885776471952,0.06626966905523066,0.117995983539665,0.184212951724247,0.379033962832101
con2c,145.0,0.09106349302908795,0.08209893107267864,0.0,0.0234356252196557,0.0604212760170699,0.158055508141973,0.325413836872557
con2d,289.0,0.12419440741711615,0.07805566462440336,0.0035742578430373,0.0560489119682392,0.112005253902047,0.180595713800827,0.378034439355459
con2e,121.0,0.06438250903921905,0.06175017214996463,0.00093265769633348,0.0208979759256788,0.0431345839556778,0.0857358076553863,0.276380959398904
con2f,157.0,0.07926952009186304,0.05257150185065803,0.0033839408481302,0.034903704447778,0.0761451431836824,0.114425241449615,0.243040032647976
con2g,277.0,0.11503144495664572,0.05735836747492086,0.0038402556398705,0.0727766019563991,0.108843622856363,0.155281220625694,0.308490618898605
con3a,433.0,0.1699622884625686,0.10300168833744468,0.0031634643633462,0.0914057775356837,0.147918910615246,0.227461317071163,0.48018403452594
con3b,85.0,0.007188842825315281,0.0097875767616147,0.0,0.001585633206084,0.0037086346319574,0.008735802079798,0.0502201884852742
con3c,85.0,0.005281443046527056,0.007434772094457454,0.0,0.0011798368598307,0.0029677025287883,0.0052009422628805,0.0381632109865754
con3d,85.0,0.022780335256845148,0.0159900266649301,0.0016831722410968,0.0101698758590899,0.0192134464544299,0.0300471364154868,0.0781549708246518
con3e,85.0,0.01229826985844155,0.013599194636663018,0.0,0.0028810558976593,0.0076002175300454,0.0171452873900774,0.0762492422867633
con3f,85.0,0.005147045600205646,0.005233874951997354,0.0,0.0013605564483244,0.0039368377154594,0.0071678539721015,0.0281742209214124
con3g,85.0,0.015446064974575987,0.010143124953843891,0.00085472982203435,0.0089630317286921,0.0137372351594395,0.0190014251545769,0.0592272911918383
con4,409.0,0.1220351851212852,0.04879365354786049,0.0080060858439882,0.0878944097583365,0.123938598119238,0.153776697436158,0.258128368070341
con5a,97.0,0.04589668223706501,0.03993928469497967,0.0043564511116271,0.021760318926936,0.0337088887262171,0.0531284842655505,0.208538042646124
con5b,217.0,0.09014243777198117,0.05679207179133444,0.00065179853821215,0.0319076433956472,0.0966739659920892,0.133837218104405,0.224928915740823
con6,85.0,0.013602703901378476,0.011631199832548771,0.0,0.0049915794235534,0.0117160606158707,0.0188679525171137,0.0645876094717233
con7,85.0,0.02206190249266236,0.015546605154534737,0.0024315468104018,0.0108454485255547,0.0191736147185127,0.0286474566595616,0.0834908421509207
con8,301.0,0.11516407398379758,0.06089468591250739,0.0030584931881665,0.0724305265423764,0.107530193970994,0.15316030605219,0.310926680812136
con9a,1958.0,0.6953368921479434,0.22896965560583957,0.0661525919771917,0.5566723082998357,0.7653065193449959,0.874916533488467,1.0
con9b,1170.0,0.25678240859167056,0.14376240516585181,0.0,0.1388309369837955,0.22852151601367449,0.36303143834532303,0.698265559498531
con10,181.0,0.0902768799458181,0.060094336717458376,0.0,0.0292425015836486,0.0958750467193959,0.135383142954757,0.261476242777779
con11,1102.0,0.6129469037897187,0.15065105687143607,0.0989236135042501,0.5086779486386903,0.636478655388911,0.7315642603617007,0.903875147057655
con12d,1102.0,0.7201810036852341,0.15564630466061308,0.121647953239368,0.6357063692719828,0.749670362463599,0.8352433108316693,0.976322770472223
con12w,142.0,0.08219452463660523,0.045762974749619614,0.0172645053044519,0.04660313567910927,0.068733894906314,0.11253718923057851,0.251742740690023
con12m,97.0,0.030823857175144867,0.043055243552016696,0.0,0.0075999169684053,0.0142509108511701,0.0270441860178686,0.163753680505711
con12lm,85.0,0.01598815885528603,0.015866946188764993,0.0,0.0065821365021317,0.0113055892259049,0.0199932765323219,0.0851091928625717
con13,95.0,0.05126452163482568,0.10651839766365506,0.0,0.00656337414762635,0.0124415065347064,0.022416753733147353,0.437569277487455
con14,1102.0,0.628022182243947,0.19705310471620002,0.094416721286385,0.4849457904671932,0.654192858701061,0.79118379847702,0.982656046736276
con15,104.0,0.3814439038365212,0.1537618621913404,0.0629858780016069,0.27484290909171427,0.385589141047203,0.465329378128727,0.80893871371814
con16,1102.0,0.5660980981295538,0.20640982889938506,0.0350810106125445,0.40688936172968426,0.5784951673340619,0.7407695167623115,0.97505958726926
con17a,1102.0,0.40900448059753497,0.15411070655717213,0.0534161816829259,0.29470921438736397,0.40754156548166953,0.5333780671650118,0.837550084367141
con17b,1102.0,0.3086940725472291,0.11515873162016325,0.0503510066586736,0.22156874760334125,0.30322665871819,0.3819203310388105,0.668488087353336
con17c,97.0,0.039889548203763954,0.0473770341142199,0.0,0.0100402844214784,0.0243716625224527,0.0381173305531136,0.199596046000455
con17d,265.0,0.12059433620959087,0.06296493489678026,0.0067300470534103,0.0650979656385349,0.129783555367143,0.164786293536355,0.300122847938416
con18,1102.0,0.4906637683227968,0.17054096525975732,0.073579560836568,0.363667309052483,0.48683395091486104,0.62015165503155,0.962281684631621
con19,1102.0,0.4110753676633837,0.16907655681362935,0.044860367487888,0.2770774861956015,0.40328147618579846,0.5366522450392592,0.920870710542809
con20,865.0,0.1889303269360135,0.09034898497629554,0.0407531516202334,0.124379249009697,0.162166992723644,0.235443985089196,0.528297811518247
con21,828.0,0.20891960738467402,0.10861508589107205,0.0195328825442661,0.131141576776658,0.185083880602506,0.25976456058921926,0.660853258340837
con22,85.0,0.014249719718352602,0.011858864906118477,0.0,0.005912875511629,0.0109083383676848,0.0199734178895164,0.0630225572540502
con23,528.0,0.12937518209076912,0.04741223452580972,0.0094750479098325,0.0978725825437715,0.124423091352617,0.15896908035487622,0.288734455370127
internet,1982.0,0.7313516511013467,0.24242497475800617,0.0413982874654404,0.5848659747874705,0.819328728741245,0.927370483544718,1.0
con26d,1006.0,0.4911839202446217,0.25077103177392784,0.0191247411259326,0.2733417056983297,0.4929399424887365,0.712475170668177,0.967396810204863
con26w,406.0,0.11283224401657267,0.03587079725290481,0.0226987931254467,0.0901113213957747,0.113942687061834,0.13564375654280125,0.255312140417448
con26m,95.0,0.037299429558556974,0.03350580728364818,0.0064192198649378,0.01768847302585215,0.0257475371431159,0.044313986967898095,0.181348494466561
con26lm,109.0,0.048839843197990285,0.043029411450453754,0.0018970416270153,0.0165821684740559,0.031378855163707,0.0713178470214963,0.183976201039955
con27,1078.0,0.4558845399428744,0.18304749032827888,0.0549188510029777,0.32998605133554176,0.4542437476638945,0.5778316714223213,0.958241581289661
con28d,253.0,0.13258703247391754,0.08507635750358972,0.0027802060178979,0.0613831413619061,0.126440155532787,0.195364111263287,0.356357913250636
con28w,646.0,0.18308090879925779,0.1119497729832723,0.0080140360995887,0.1151449614580585,0.158308238386528,0.2237029554036325,0.870889159040559
con28m,720.0,0.30903943028398695,0.17319457558956125,0.0074969876407389,0.16347224351706752,0.30380769896146653,0.40855794205155227,0.788298389932212
con28lm,97.0,0.04613847156922497,0.036438518646971056,0.0064001644366953,0.0199003329113582,0.0352878310635834,0.0527884272408252,0.170280010319036
con28n,85.0,0.0005169413380903069,0.0009577471286903799,0.0,0.0,0.0,0.00057909534017008,0.003781989054864
con29,301.0,0.12418342078494336,0.06193406828630161,0.0026706708037518,0.0888355562077295,0.125579181433053,0.163095589344945,0.302721125346668
con30a,1054.0,0.4740003593917488,0.20686630212528745,0.0431454607951583,0.30936239015906525,0.4726277936058505,0.6331888735826168,0.976289220171873
con30b,1054.0,0.4554188709647506,0.19523499538901992,0.0577598912404077,0.2991286661582535,0.453160068100854,0.5900134531848947,0.966377067061657
con30c,1090.0,0.5164323374095209,0.22627708998573856,0.0475016453998008,0.3344147778475787,0.5403259517876475,0.6988377213254442,0.984643470337856
con30d,1054.0,0.4413642701853737,0.203510341682564,0.0425292988264781,0.273633120863018,0.440059692628172,0.5995739498173305,0.942952496088612
